symbol,FullName,Exchange,ISIN,Currency,Country
0N5.F,"XOMETRY INC.CL.A -,000001",Frankfurt (FWB),US98423F1093,EUR,Germany
0N6A.F,"TME PHARM.CONF.IPO EO-,01",Frankfurt (FWB),NL0015000YE1,EUR,Germany
0N9.F,PATAGONIA GOLD CORP.,Frankfurt (FWB),CA70289T1012,EUR,Germany
0NB0.F,FIRST ALTAS RESS. O.N.,Frankfurt (FWB),CA3186491005,EUR,Germany
0NF1.F,NOVERIS HEALTH SCI.,Frankfurt (FWB),CA66990B1085,EUR,Germany
0NG.F,NORTHERN GRAPHITE CORP.,Frankfurt (FWB),CA66516A1057,EUR,Germany
0NH.F,NOMAD FOODS (DI) (WI),Frankfurt (FWB),VGG6564A1057,EUR,Germany
0NN.F,AVICANNA INC.,Frankfurt (FWB),CA05368K1003,EUR,Germany
0NR.F,"UNIPHAR PLC     EO -,08",Frankfurt (FWB),IE00BJ5FQX74,EUR,Germany
0NU.F,NUTANIX INC. A,Frankfurt (FWB),US67059N1081,EUR,Germany
0NW.F,"DIME COMMERCIAL BA DL-,01",Frankfurt (FWB),US25432X1028,EUR,Germany
0NX.F,VOXEL SA             ZY 1,Frankfurt (FWB),PLVOXEL00014,EUR,Germany
0NY.F,"LINKLOGIS B  DL-,00000833",Frankfurt (FWB),KYG5571R1011,EUR,Germany
0O2.F,"SAGIMET BIOSC.CL.A -,0001",Frankfurt (FWB),US7867001049,EUR,Germany
0O9.F,"NIU TECH. ADR/2 A -,0001",Frankfurt (FWB),US65481N1000,EUR,Germany
0OC.F,"OCADO GROUP PLC   LS -,02",Frankfurt (FWB),GB00B3MBS747,EUR,Germany
0OC1.F,OCADO GROUP    SP.ADR 1/2,Frankfurt (FWB),US6744881011,EUR,Germany
0OE.F,ORION S.A.,Frankfurt (FWB),LU1092234845,EUR,Germany
0OG.F,ORGANIGRAM GLOBAL INC.,Frankfurt (FWB),CA68617J1003,EUR,Germany
0OH.F,OOH MEDIA LTD,Frankfurt (FWB),AU000000OML6,EUR,Germany
0OJ.F,CDN APARTMENT PROP. REAL,Frankfurt (FWB),CA1349211054,EUR,Germany
0OK.F,OKTA INC. CL.A    O.N.,Frankfurt (FWB),US6792951054,EUR,Germany
0OM.F,"ORION MARINE GROUP DL-,01",Frankfurt (FWB),US68628V3087,EUR,Germany
0ON.F,EXCHANGE INCOME CORP.,Frankfurt (FWB),CA3012831077,EUR,Germany
